company,projectName,location,country,industry,region,type,services,date,completed,description,lat,lng
GAIL India Ltd.,Pipeline Depth Monitoring Survey at Perennial River Crossings under HVJ Pipeline Network,India,India,Oil & Gas,Asia,Pipeline Route Surveys,Offshore Platform Site & Pipeline Route Surveys,15-06-2026,,Hiring of contract for pipeline depth monitoring survey at perennial river crossing locations under HVJ pipeline network.,23.2599,77.4126
GAIL India Ltd.,Pipeline Profile Survey for GAIL Maharashtra NG Pipeline Network,Maharashtra,India,Oil & Gas,Asia,Pipeline Route Surveys,Offshore Platform Site & Pipeline Route Surveys,15-06-2026,,"Hiring of contract services for pipeline profile surveys utilizing Bathymetry, Sub-Bottom Profiler, and Side Scan Sonar for pipeline river crossings across the GAIL Maharashtra Natural Gas (NG) Pipeline Network.",19.7515,75.7139
North Sea Renewables,Pre-construction UXO Gradiometer Survey for Offshore Wind Farm,Dogger Bank,United Kingdom,Power & Renewables,Europe,Gradiometer Surveys for UXO Search,Gradiometer Surveys for UXO Search,01-09-2016,,Pre-construction UXO Gradiometer Survey utilizing magnetic anomaly mapping to identify and clear potential Unexploded Ordnance risks along the designated export cable corridor.,54.75,2.3333
GAIL India Limited,Side Scan Sonar Survey in KG Basin for GAIL,"KG BASIN, andhra pradesh, INDIA",India,Oil & Gas,Asia,Geophysical Survey,Geophysical Survey,01-06-2026,,Side Scan Sonar Survey in KG Basin for GAIL India Limited to ensure the safety and integrity of subsea pipelines.,16.9891,82.2475
E-Marine PJSC,"Hiring of Dive Swim, Topographic & Inshore Survey Services at Barka, Oman","BARKA, OMAN",Oman,Submarine Cable Contractors,Middle East,Topographic AND Inshore Survey,Topographic Survey; Bathymetry Survey,01-11-2025,,"Hiring of Dive Swim, Topographic & Inshore Survey Services at Barka, Oman",23.6781,57.8865
Limited,"Breakwater, Vizhinjam, Kerala Bathymetry Survey","Vizhinjam, Kerala",India,Engineering & Construction,Asia,Bathymetry Survey,Bathymetry Survey,01-09-2025,,"Breakwater, Vizhinjam, Kerala Bathymetry Survey",8.3784,76.9905
EGS Survey Middle East LLC FZ,Hire of Personnel,Singapore,Singapore,Submarine Cable Contractors,Asia,Desktop Study,Desktop Study for Offshore Projects; Submarine Cable Route Surveys,01-08-2025,,Hire of Personnel,1.3521,103.8198
Tridel Meteorology Projects Contracting LLC,Hiring Personnel and Equipment for survey project in Bahrain,Bahrain,Bahrain,Survey & Geoscience Contractors,Middle East,Desktop Study AND Equipment for survey,Desktop Study for Offshore Projects,01-08-2025,,Hiring Personnel and Equipment for survey project in Bahrain,26.0667,50.5577
Ltd.,Inspection of Multibeam System (ELAC 1185 system),Not specified,India,Survey & Geoscience Contractors,Asia,Multibeam System,Bathymetry Survey,01-07-2025,,Inspection of Multibeam System (ELAC 1185 system),19.076,72.8777
The Shipping Corporation of India,Provision of INMARSAT based differential global positioning system for ONGC owned Geotechnical Vessel (GTV) SAMUDRA SARVEKSHAK,survey,India,"Government, Defence & Public Sector",Asia,Wide Area Positioning Services,Wide Area Positioning Services,01-06-2025,,Provision of INMARSAT based differential global positioning system for ONGC owned Geotechnical Vessel (GTV) SAMUDRA SARVEKSHAK,19.076,72.8777
Inland Waterways Authority of India,"various National Waterways (NW-10, NW-28 & NW-53) in Maharashtra",Not specified,India,"Government, Defence & Public Sector",Asia,Hydrographic Surveys,Bathymetry Survey,01-06-2025,,"various National Waterways (NW-10, NW-28 & NW-53) in Maharashtra",19.7515,75.7139
EGS Survey Middle East LLC FZ,Hire of Personnel,Not specified,India,Submarine Cable Contractors,Asia,Desktop Study,Desktop Study for Offshore Projects; Submarine Cable Route Surveys,01-05-2025,,Hire of Personnel,19.076,72.8777
Pvt. Ltd.,Visakhapatnam,Not specified,India,Survey & Geoscience Contractors,Asia,Bathymetry Survey,Bathymetry Survey,01-05-2025,,Visakhapatnam,17.6868,83.2185
Limited,Bathymetry Survey (Jafrabad to Victor Port),Not specified,India,Survey & Geoscience Contractors,Asia,Bathymetry Survey,Bathymetry Survey,01-03-2025,,Bathymetry Survey (Jafrabad to Victor Port),20.87,71.37
Limited,Aftons Infrastructure Bathymetry Survey Work at AMCSWF Project,Not specified,India,Engineering & Construction,Asia,Bathymetry Survey,Bathymetry Survey,01-03-2025,,Aftons Infrastructure Bathymetry Survey Work at AMCSWF Project,19.076,72.8777
Ltd.,Shanker Survey Pvt. Hire of Equipment and Personnel,Not specified,India,Survey & Geoscience Contractors,Asia,Bathymetry Survey (Assam),Bathymetry Survey,01-03-2025,,Shanker Survey Pvt. Hire of Equipment and Personnel,26.2006,92.9376
Ltd. (Assam),Not specified,Not specified,India,Survey & Geoscience Contractors,Asia,Bathymetry Survey (Assam),Bathymetry Survey,01-03-2025,,Not specified,26.2006,92.9376
Ltd.,Shanker Survey Pvt. Hire of Equipment and Personnel,Not specified,India,Survey & Geoscience Contractors,Asia,Bathymetry Survey (Chhara),Bathymetry Survey,01-01-2025,,Shanker Survey Pvt. Hire of Equipment and Personnel,20.78,71.04
Limited,Bathymetry Survey (Victor Port),Not specified,India,Survey & Geoscience Contractors,Asia,Bathymetry Survey Victor Port,Bathymetry Survey,01-12-2024,,Bathymetry Survey (Victor Port),20.9083,71.4556
Hydrographics Navitech (India) Pvt. Ltd.,Hire of Equipment and Personnel,Not specified,India,Survey & Geoscience Contractors,Asia,Desktop Study AND Equipment for survey,Desktop Study for Offshore Projects; Bathymetry Survey,01-11-2024,,Hire of Equipment and Personnel,19.076,72.8777
Ltd.,GeoSwath Provision of Echosounder,Not specified,India,Survey & Geoscience Contractors,Asia,Not specified,Bathymetry Survey,01-11-2024,,GeoSwath Provision of Echosounder,19.076,72.8777
India Pvt. Ltd.,Multibeam Operator / Processor,Not specified,India,Survey & Geoscience Contractors,Asia,Not specified,Bathymetry Survey,01-11-2024,,Multibeam Operator / Processor,19.076,72.8777
Ltd.,Hire of Equipment and Personnel,Not specified,India,Survey & Geoscience Contractors,Asia,Not specified,Bathymetry Survey,01-11-2024,,Hire of Equipment and Personnel,19.076,72.8777
Telecommunications Consultants India Limited,Consultancy partner for DPR preparation on indigenous submarine cable repair facility in India,Not specified,India,Telecom Operators & Cable Owners,Asia,DPR Preparation,DPR Preparation for Offshore Industry,01-08-2024,,Consultancy partner for DPR preparation on indigenous submarine cable repair facility in India,28.6139,77.209
Zenith Survey (1) Pvt. Ltd.,Hire of Equipment and Personnel,Not specified,India,Survey & Geoscience Contractors,Asia,Hire of Equipment AND Geophysical Survey,Geophysical Survey,01-05-2024,,Hire of Equipment and Personnel,19.076,72.8777
AMNS Port Hazira Limited,Magnetometer and Multibeam survey,Not specified,India,"Ports, Shipyards & Harbours",Asia,Bathymetry Survey,Bathymetry Survey,01-05-2024,,Magnetometer and Multibeam survey,21.1,72.7
Geostar Surveys India Pvt. Ltd.,Hire of ADCP and Personnel,Not specified,India,Survey & Geoscience Contractors,Asia,Bathymetry Survey,Bathymetry Survey,01-05-2024,,Hire of ADCP and Personnel,19.076,72.8777
SAExploration Inc-Marine,DGPS and GYRO verification for 3 vessels at Mumbai Port,Mumbai Port,India,Oil & Gas,Asia,Wide Area Positioning Services,Wide Area Positioning Services,01-02-2024,,DGPS and GYRO verification for 3 vessels at Mumbai Port,18.9517,72.9526
The Shipping Corporation of India,Provision of INMARSAT based differential global positioning system for ONGC owned Geotechnical Vessel (GTV) SAMUDRA SARVEKSHAK,Not specified,India,"Government, Defence & Public Sector",Asia,Wide Area Positioning Services,Wide Area Positioning Services,01-01-2024,,Provision of INMARSAT based differential global positioning system for ONGC owned Geotechnical Vessel (GTV) SAMUDRA SARVEKSHAK,19.076,72.8777
EGS (Asia) Limited,Provision of Personnel Support onboard EGS Surveyor (Singapore),Singapore,Singapore,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-01-2024,,Provision of Personnel Support onboard EGS Surveyor (Singapore),1.3521,103.8198
Adani Hazira Port Ltd.,"Acoustic Doppler Current Profiler (ADCP), Geophysical (Sub-bottom profiler) Survey & Multibeam Bathymetry survey works at South Gujarat Coast (Bhagod & Nargol)",South Gujarat Coast (Bhagod & Nargol),India,"Ports, Shipyards & Harbours",Asia,Bathymetry Survey,Bathymetry Survey,01-10-2023,,"Acoustic Doppler Current Profiler (ADCP), Geophysical (Sub-bottom profiler) Survey & Multibeam Bathymetry survey works at South Gujarat Coast (Bhagod & Nargol)",20.1989,72.7481
SAExploration Inc-Marine,DGPS and GYRO verification for 3 vessels at Mumbai Port,Mumbai Port,India,Oil & Gas,Asia,Wide Area Positioning Services,Wide Area Positioning Services,01-09-2023,,DGPS and GYRO verification for 3 vessels at Mumbai Port,18.9517,72.9526
Reliance Industries Limited Kakinada,Inspection services for shallow water asset integrity as per SOW for block: KG-DWN-98/3,Not specified,India,Oil & Gas,Asia,Shallow & Deep Water Oceanography,Shallow & Deep Water Oceanography,01-08-2023,,Inspection services for shallow water asset integrity as per SOW for block: KG-DWN-98/3,16.9891,82.2475
